Item Code,Description,Item Group
B10340,BETALOC 100MG STRIP 20'S,POISON
PI0003,AVOMETER AVANT (SOLOMETER),CONSIGNMENT
PI0004,DISCONTINUE,CONSIGNMENT
PI0005,DISCONTINUE,CONSIGNMENT
A12333,OPTIVE FUSHION EYE DROPS 10ML,OTC
A12334,~CI VITAMIN E 10ML,CONSIGNMENT DR HANISAH
A12331,DISCONTINUE,OTC
A12332,DISCONTINUE,OTC
A12335,DISCONTINUE,OTC
A12336,FAMILY GUARD FRESH FLORAL 280ML,MEDICAL DEVICE & SUPPLY
A12337,FAMILY GUARD MOUNTAIN AIR 280ML,MEDICAL DEVICE & SUPPLY
A12338,DISCONTINUED,PERSONAL CARE
B10341,*NICORETTE 2MG STRIP 15'S,POISON
B10342,*NICORETTE 4MG STRIP 15'S,POISON
A12340,VITALIC/NEUROBINE 10'S,OTC
A12341,DISCONTINUE,OTC
A12342,PROMUNE 90 10G 1'S,OTC
A12343,DISCONTINUE,FOOD & BEVERAGES
B10343,VIAGRA 100MG BOX 4'S,POISON
B10344,*NICORETTE PATCH STEP 1 25MG/16HR PCS 1'S,POISON
B10345,DISCONTINUE,POISON
B10346,*NICORETTE PATCH STEP 2 15MG/16HR PCS 1'S,POISON
A12245,DISCONTINUE,OTC
A12246,DISCONTINUE,OTC
A12248,SKY GEL ULTRASOUND GEL 5KG,OTC
B10330,MELOXICAM 7.5MG STRIP 10'S,POISON
A12280,SCHOLL FRESH STEP SHOE SPRAY 150ML,OTC
A12281,PAN MATE DISPOSABLE PANTIES (XXL) 6'S,PERSONAL CARE
A11304,DISCONTINUE,OTC
A12263,DISCOUNTINUE,OTC
A12283,EAGLE BIO LOLLIPOP TEST KIT 1'S,OTC
B10336,VOLTAREN 50MG STRIP 10'S,POISON
A12285,ORG APPLE GUAVA JUICE SUNBLAST 200ML,FOOD & BEVERAGES
A12286,MH BROWN RICE CRACKERS 150G,OTC
A12287,DISCONTINUE,OTC
PI0001,SAMPLE KOMBUCHA,CONSIGNMENT
A12293,QUORBYX CREAM 500GM,OTC
A12294,DISCONTINUE,OTC
A12295,DISCONTINUED,OTC
A12296,OPTREX EYE WASH 300ML,OTC
A12297,MH VEGETARIAN MUSHROOM SAUCE 500G,OTC
A12298,MH ORG BLACK BEAN POWDER 300G,OTC
A12299,MH ORG 4 IN LOVE SLIM MISUA 300G,OTC
A12300,MH ORG 4 SEASON FLAT NOODLE 250G,OTC
A12301,MH ORG BUCKWHEAT NOODLES 250G,OTC
A12302,MH BEETROOT RAMEN 320G,OTC
A12303,MH BABY SPINACH RAMEN 320G,OTC
A12304,MH ALL-PURPOSE MUSHROOM SEASONING 150G,OTC
A12305,MH ORG COCONUT AMINOS 250ML,OTC
A12306,MH STEVIA SWEETENER 200G,OTC
A12307,MH KOKONUT COCONUT COOKING OIL 2L,OTC
A12308,MH FOOD GOLDEN CHRYSANTHEMUM 100G,FOOD & BEVERAGES
A12309,MH NATURAL RED DATE 200G,OTC
A12310,DISCONTINUE,OTC
A12311,MH ORG REGULAR OAT 500G,OTC
A12312,MH ORG SPELT FLOUR 500G,OTC
A12313,MH RAW ALMOND 150G,OTC
A12314,MH RAW CASHEW 150G,OTC
A12315,MH ORG GOLDEN FLAXSEED 250G,OTC
A12316,DISCONTINUE,OTC
A12317,MH MULTIGRAIN CRACKER WITH KOMBU 12'S,OTC
A12189,SUCTION TUBE SIZE 8,OTC
A12200,DISCONTINUED,OTC
A12201,NIPS MILK CHOCOLATE 85G,OTC
A12203,~RAW SHEA BUTTER 20G,CONSIGNMENT DR HANISAH
A12205,HIMALAYA FATIGUE WELLNESS ASHVADANDHA 60'S,OTC
A12206,DISCONTINUE,OTC
A12209,DYNA BALM SERAI WANGI 20G,OTC
A12212,NATURAL CLENX TEA TEABAG 50'S,OTC
A12213,DISCONTINUE,OTC
A12214,DISCONTINUE,OTC
A12215,DISCONTINUE,OTC
A12217,POLYLAB MOISTURE RICH MP SOL 360ML+100ML,OTC
A12219,VASELINE INT CARE ALOE SOOTHE BODY LOTION 250ML,OTC
A12221,NASAL STRIPS 5'S,OTC
B10327,DISCONTINUE,POISON
B10328,FUCITHALMIC EYE DROP 5G,POISON
B10329,MELAQUIN CREAM 4% WITH SUNBLOCK,POISON
A12222,LIFEFLO MAGNESIUM OIL NIGHT SPRAY 237ML,OTC
A12225,~*ZEMVELO SACHA INCHI OIL VIT E 60'S,CONSIGNMENT
A12226,DISCONTINUE,OTC
A12227,AKUARIZ GAMAT GEL 60G,OTC
A12229,DETTOL HAND SANITIZER ORIGINAL 50ML,PERSONAL CARE
A12230,SUNPLAY WATER KIDS HYPOALLERGY SPF60 35G,OTC
A12231,DR MIST BODY SPRAY 75ML,OTC
A12234,SIMPLE HYDRATING LIGHT MOISTURISER 125ML,OTC
A12235,*FYBOGEL SACHET 1'S,OTC
A12237,DISCONTINUED,OTC
A12239,VITAMODE ASHWAGANDHA 300MG 30'S,OTC
B10332,PLENDIL 10MG STRIP 15'S,POISON
A12249,BACTEPRO HAND SANITIZER GEL 5L,OTC
A12250,DISCOUNTINUE,OTC
A12251,*YUKA ZAN KF94 (PINK/YELLOW) 10'S,MEDICAL DEVICE & SUPPLY
A12252,*YUKA ZAN KF94 (LAVENDER/PEACH) 10'S,OTC
A12253,*YUKA ZAN KF94 (FAIRY GREEN/FOREST GREEN) 10'S,MEDICAL DEVICE & SUPPLY
A12254,*YUKA ZAN KF94 KIDS CARTOON 10'S,MEDICAL DEVICE & SUPPLY
A12255,DISCONTINUE,OTC
A12256,YUKA ZAN FACE SHIELD,MEDICAL DEVICE & SUPPLY
A12257,DISCONTINUE,OTC
A12258,DISCONTINUE,OTC
A12259,DISCONTINUE,OTC
A12265,RAINBOWS ORI SPROUTED COOKIES 150G,OTC
A12266,RAINBOWS SEED SPROUTED COOKIES 150G,OTC
A12267,RAINBOWS BLACK SESAME COOKIES 150G,OTC
A12268,DISCONTINUE,OTC
A12269,REXONA TEENS TROPICAL ENERGY 102ML,OTC
A12270,REXONA TEENS MUSIC FAN 102ML,OTC
A12271,*REXONA TEENS FUN SPIRIT 102ML,OTC
A12272,DISCONTINUE,OTC
A12273,DISCONTINUED,OTC
A12274,DISCONTINUE,OTC
A12275,DISCONTINUE,OTC
A12276,~MY ANTIDOTE LAVENDER SOAP,CONSIGNMENT DR HANISAH
B10333,AERIUS SYRUP 60ML,POISON
B10334,IBUPROFEN SUSPENSION 100ML,POISON
B10335,UPHAXICAM 10MG STRIP 10'S,POISON
A12277,PROFESSIONAL USE ALL TEST COVID TEST KIT 1'S,OTC
A12278,GREEN WORLD BUG&DUST MITE SPRAY NATURAL 500ML (PREMIUM),OTC
A12279,SLEEP TITE BED BUG&DUST MITE SPRAY LAVENDAR 500ML,OTC
A12401,~DOTERRA VEGGIE CAPS 160S,CONSIGNMENT DR HANISAH
A12402,DISCONTINUE,OTC
A12403,DISCONTINUE,OTC
A12404,DISCONTINUE,OTC
A12405,DISCONTINUED,OTC
A12406,~YUM EARTH ORGANIC POPS STRAWBERRY 87G,CONSIGNMENT DR HANISAH
A12407,DERMOPLEX ANTIFUNGAL CREAM 15G,OTC
A12409,DISCONTINUE,OTC
A12410,DISCONTINUE,OTC
A12411,DISCONTINUE,OTC
A12412,DISCONTINUE,OTC
A12413,DISCONTINUE,OTC
A12414,EXTRA COMFORT NITRILE PP GLOVES (L) 100'S,OTC
A12415,HURIX'S BALM MOS'Q KING W/ALOE VERA 20G,OTC
B10363,*HYZAAR 100/12.5MG STRIP 10'S,POISON
A12416,PANCAKE CARROT 210G ,BABY & MOM
A12417,PANCAKE BEETROOT 210G ,BABY & MOM
A12362,DISCONTINUE,OTC
A12379,COLGATE TB TRIPLE ACTION MEDIUM 1'S,PERSONAL CARE
A12382,MALE EXTERNAL CATHETER (XL),WOUND & SURGICAL
A12384,MALE EXTERNAL CATHETER (L),WOUND & SURGICAL
A12385,PANCAKE BUTTERFLY PEA 210G ,BABY & MOM
A12388,PANCAKE PANDAN 210G,OTC
A12389,3M TEGADERM TRASNPARENT DRESSING 10X13CM ,WOUND & SURGICAL
A12390,HIBISCUS VITAL ALKALINE WATER 500ML Hibiscus,OTC
A12391,QUICK COOK CREAMY MAC & CHEESE PASTA 70G ,FOOD & BEVERAGES
A12327,SKINPLEX STOPBLEED 80MM*100MM 3'S,OTC
A12328,DISCONTINUE,OTC
A12329,SKINPLEX STOPBLEED 25MM*72MM 5'S,OTC
A12344,~ITCH RELIEF OIL SPRAY 50ML,CONSIGNMENT DR HANISAH
A12345,DISCONTINUE,OTC
A12346,DISCONTINUE,OTC
A12347,DISCONTINUE,OTC
A12348,DISCONTINUE,OTC
B10349,DISCONTINUE,POISON
B10350,APO-SERTRALINE 50MG 100'S,POISON
A12349,BM MULTIVITAMINS+MINERAL 120'S,SUPPLEMENT
A12350,ROMA WAFELLO ITALIAN BITES CHOCOBLAST 10S ,FOOD & BEVERAGES
A12351,DISCONTINUE,OTC
A12352,DISCONTINUE,OTC
A12353,DISCONTINUE,OTC
A12354,DISCONTINUED,OTC
A12355,DISCONTINUED,OTC
A12356,DISCONTINUED,OTC
A12357,GLUCODR GLUCOMETER AUTO A,MEDICAL DEVICE & SUPPLY
A12358,*LEGALON 140MG STRIP 10'S (MILK THISTLE),OTC
A12359,AROSS DIGITAL THERMOMETER KFT-03,MEDICAL DEVICE & SUPPLY
A12360,AROSS CARTOON DIGITAL THERMOMETER KFT-03C,MEDICAL DEVICE & SUPPLY
A12366,WATERPROOF DRESSING ADH TAPE ROLL 5CM*10M,OTC
A12367,DISCONTINUE,WOUND & SURGICAL
A12368,ALUMINIUM 2IN1 RECIPROCAL WALKING FRAME,REHAB & SUPPORT
A12369,FOLDABLE BACKREST WHEELCHAIR GSR02,REHAB & SUPPORT
A12370,FOLDABLE COMMODE WITH BUCKET,REHAB & SUPPORT
B10351,DISCONTINUE,POISON
B10352,TERRAMYCIN OPTHALMIC EYE OINT 3.5G,POISON
B10353,*THYROSIT 100MCG STRIP 10'S,POISON
B10355,SANDOZ OSPAMOX 500MG STRIP 10'S (AMOXICILLIN),POISON
B10357,*CAVUMOX 625MG STRIP 3'S,POISON
B10358,DISCONTINUE,POISON
B10359,SIAM FLUCOZOLE 200MG PCS 1'S,POISON
A12371,DISCONTINUE,OTC
A12372,DISCONTINUE,OTC
A12373,DISCONTINUE,OTC
A12374,MED TEXTILE POSTURE BRACE ELASTIC,OTC
A12375,*CRANGG+ 3G 1'S (CRANBERRY),OTC
A12376,DISCONTINUED,OTC
A12377,ORAL B CLASSIC ULTRACLEAN MEDIUM 2'S,OTC
B10366,VOBRAX CAP 200MG STRIP 10'S,POISON
A12418,GKB I-KIDS 1S,SUPPLEMENT
A12420,IZZLY SERBUK BIJIRIN OATS SEGERA 225G,OTC
A12421,IZZLY BIJIRIN BARLI SEGERA,OTC
A12422,DISCONTINUE,OTC
A12423,DISCONTINUE,OTC
A12424,*NEUTROVIS 3PLY HL SKY BLUE 10'S,MEDICAL DEVICE & SUPPLY
A12425,DISCONTINUE,OTC
A12426,*NEUTROVIS PREM 4PLY WHITE 10'S,MEDICAL DEVICE & SUPPLY
A12427,DISCONTINUE,OTC
A12428,DISCONTINUE,OTC
A12429,*NEUTROVIS PREM 3PLY LAVENDER 10'S,MEDICAL DEVICE & SUPPLY
A12430,DISCONTINUE,OTC
A12431,NEUTROVIS PREM 4PLY KIDS FOX & PENGUIN 10'S,MEDICAL DEVICE & SUPPLY
A12432,DISCONTINUE,OTC
A12395,HOVID ULTIMAX CREAM 30G,OTC
B10360,RHINATHIOL PROMETHAZINE 125ML,POISON
B10361,PROCTOSEDYL OINT 15G,POISON
A12434,DISCONTINUE,OTC
A12435,DISCONTINUE,OTC
A12436,*NEUTROVIS PREM HL  3PLY PINK BABY 10'S,MEDICAL DEVICE & SUPPLY
A12397,DISCONTINUE,OTC
A12398,DISCONTINUED,OTC
A12399,DISCONTINUE,OTC
A12438,*NEUTROVIS HL 4PLY BLACK 10'S,MEDICAL DEVICE & SUPPLY
A12440,*NEUTROVIS EXTRA 4PLY STEEL GREY 10'S,MEDICAL DEVICE & SUPPLY
A12447,*NEUTROVIS PREM HL 4PLY DENIM BLUE 10'S,MEDICAL DEVICE & SUPPLY
A12448,DISCONTINUE,OTC
A12449,DISCONTINUE,OTC
A12450,*HIMAYA PREM 3PLY HL BLUSH ROSE 10'S,MEDICAL DEVICE & SUPPLY
A12451,DISCONTINUE,OTC
A12452,*HIMAYA 3PLY HL SOFT OLIVE 10'S,MEDICAL DEVICE & SUPPLY
A12453,*HIMAYA 3PLY HL LOVE LATTE 10'S,MEDICAL DEVICE & SUPPLY
A12454,DISCONTINUE,OTC
A12455,*HIMAYA 3PLY HL BLUE LAGOON 10'S,MEDICAL DEVICE & SUPPLY
A12456,DISCONTINUE,OTC
A12457,*HIMAYA 3PLY HL APRICOT DREAM 10'S,MEDICAL DEVICE & SUPPLY
A12444,*NEUTROVIS EXTRA 4PLY FEATHER IRIS 10'S,MEDICAL DEVICE & SUPPLY
A12460,*HIMAYA PREM 4PLY HL OCEAN BLUE 10'S,MEDICAL DEVICE & SUPPLY
A12461,*HOVID NEUROVIT 10'S,OTC
A12462,DISCONTINUE,OTC
A12472,SUPER SAFE LATEX GLOVE POWDERED (M)100'S,OTC
A12473,SUPER SAFE LATEX GLOVE POWDERED (S)100'S,OTC
A12474,DISCONTINUE,OTC
A12475,DISCONTINUED,OTC
A12476,TOCOVID 200MG 30'S,OTC
A12478,DISCOUNTINUE,OTC
A12479,DISCONTINUE,OTC
A12467,CAREYS ANTI EMBOLISM STOCKING (L),REHAB & SUPPORT
A12468,CAREYS ANTI EMBOLISM STOCKING (M),OTC
A12469,DISCONTINUE,OTC
A12470,MEDI TOUCH LATEX GLOVE PF (M) 100'S,OTC
A12481,DISCONTINUE,OTC
B10367,*CLOPISTAD 75MG STRIP 10'S,POISON
B10368,COVERSYL 5MG BOX 30'S,POISON
B10369,DISCONTINUE,POISON
V10001,CERAVIS,OTC
C0002,RAYA KIT 2022,OTC
A13090,~HAIR SHAMPOO SOAP BASE 500G,CONSIGNMENT DR HANISAH
A13091,~CHAMOMILE HONEY,CONSIGNMENT DR HANISAH
A13092,~ORGANIC NEEM SHAMPOO BAR,CONSIGNMENT DR HANISAH
A13093,~RAPUNZEL HAIR OIL 50ML,CONSIGNMENT DR HANISAH
A13088,DERMATONICS ONCE HEEL BALM 75ML,OTC
A13089,DISCONTINUED,PERSONAL CARE
A13074,~DOTERRA GINGER LEMON CANDY 1'S,CONSIGNMENT DR HANISAH
B10456,JEWIM MINOXIDIL TOPICAL SOLUTION 5% 60ML,POISON
B10459,MEDOLIN SALBUTAMOL 4MG,POISON
A13077,~DOTERRA EASY AIR CANDY 1'S,CONSIGNMENT DR HANISAH
A13078,~POUCH BAG,CONSIGNMENT DR HANISAH
A13080,ARNIA MADU KELULUT ASLI 60G,FOOD & BEVERAGES
A13081,DISCONTINUE,OTC
A13082,DISCONTINUE,OTC
A13072,REMMIS GUMMIES WITH BIOTIN 60S,OTC
A13084,GRACE CARE ANKLE SUPPORT -M,REHAB & SUPPORT
A13038,DISCONTINUE,OTC
A13039,DISCONTINUE,OTC
A13040,GINKGO 2000 MG 10'S,OTC
B10451,DISCONTINUE,POISON
B10452,GLUCOPHAGE XR 750MG 15'S,POISON
B10453,GLUCOPHAGE XR 500MG 15'S,POISON
A13047,EVIN SONIC TOOTHBRUSH REFILL PACK,PERSONAL CARE
A13050,TFF LP200-A 33G SACHET 1'S,SUPPLEMENT
A13052,DISCONTINUE,OTC
A13053,DISCONTINUE,OTC
A13054,DISCONTINUED,OTC
A13055,INSTANT HYGIENE SANITIZER 5L,OTC
A13056,DISCONTINUE,OTC
A13058,NEILMED NASADROPS SALINE ON THE GO,OTC
A13061,DISCONTINUE,SUPPLEMENT TLS
A13062,GLUCONAVII STARTER KIT,MEDICAL DEVICE & SUPPLY
A13063,NANOGLIDE 4MM PACK 10'S,MEDICAL DEVICE & SUPPLY
A13064,NANOGLIDE 5MM PACK 10'S,MEDICAL DEVICE & SUPPLY
A13067,DISCONTINUE,OTC
B10455,CELEBIB CAPSULE 200MG 10'S,POISON
A13068,DISCONTINUED,PERSONAL CARE
A13069,DISCONTINUED,PERSONAL CARE
V10016,OMEGA 3 BURST SOFTGEL,OTC
000009-BAN,DISCONTINUE,OTC
000009-DAT,DISCONTINUE,OTC
000009-BUT,DISCONTINUE,OTC
V10008,AUDACE HAIR CONTROL SHAMPOO,OTC
V10009,GAIA HERB,OTC
A13096,DISCONTINUE,OTC
A13097,DISCONTINUE,OTC
A13098,DISCONTINUE,OTC
V10012,OPTIFAST SHAKE 636G,OTC
V10023,IZZLY BIJIRIN,OTC
A13099,DISCONTINUED,OTC
A13100,BM OMEGA-3 FISH OIL 1000MG 120S,SUPPLEMENT
V10030,AVEENO SKIN RELIEF MOIST LOTION,OTC
V10031,DISCONTINUE,OTC
V10034,DISCONTINUE,OTC
V10035,MH ORG SHIITAKE MUSHROOM,OTC
V10036,CAFFE BEYANG,OTC
A13103,~DROPS ESSENTIAL OIL PEPPERMINT,CONSIGNMENT DR HANISAH
B10461,CETIZAL 5MG 10'S,POISON
A13116,ORAL-B TOOTHBRUSH EASY CLEAN CHARCOAL,OTC
A13117,ORAL-B TOOTHBRUSH ULTRA-THIN DUAL CLEAN (EXTRA SOFT),OTC
A13118,ORAL-B TOOTHBRUSH GENTLE GUM CARE EXTRA SOFT,OTC
A13119,IZZLY SERBUK CENDAWAN 50G,OTC
A13120,DISCONTINUE,OTC
A13121,DISCONTINUE,OTC
A13126,DISCONTINUE,OTC
B10460,RESOLOR 2MG BOX 28'S,POISON
A13101,~DROPS ESSENTIAL OIL,CONSIGNMENT DR HANISAH
A13102,~DROPS ESSENTIAL OIL LAVENDER,CONSIGNMENT DR HANISAH
A13106,DISCONTINUE,OTC
A13107,~DOTERRA ZESGENT 15ML,CONSIGNMENT DR HANISAH
A13108,~DOTERRA ZESGENT10ML DILUTED,CONSIGNMENT DR HANISAH
V10027,FEMININE COMFORT PAD/PANTY LINER,OTC
V10028,IZZLY SERBUK BAWANG MERAH/PUTIH,OTC
V10038,IZZLY SERBUK BERAS INSTANT,OTC
V10039,STASH TEA COMP BLACK TEA,OTC
V10041,AIPHARMA GOOD BYE FEVER,OTC
V10043,DISCONTINUE,OTC
V10044,CUBE TEA ANTIDOTE,OTC
A13104,PERSONAL SHOPPER (SHOPEE),OTC
B10465,E-ZYME B6 SOOTHING LIQUID 90ML,POISON
B10466,DISCONTINUE,POISON
A13135,DISCONTINUED,OTC
A13136,~ORGANICULE ALGAE OIL 250MG,CONSIGNMENT DR HANISAH
A13137,~DROPS VITAMIN E OIL,CONSIGNMENT DR HANISAH
A13138,~NEEM & TEA TREE SOAP 50G,CONSIGNMENT DR HANISAH
3,DISCONTINUE,CONSIGNMENT
A13110,STERIMAR BABY NASAL SPRAY 100ML,OTC
A13112,ORAL-B TOOTHBRUSH EASY CLEAN BLACK (B2F1),OTC
A13113,ORAL-B TOOTHBRUSH COMPLETE SENSITIVE CARE (EXTRA SOFT),OTC
A13127,TRUTH HCG URINE PREGNANCY TEST 1'S,OTC
A13128,~MENTHOL CRYSTAL 9GM,CONSIGNMENT DR HANISAH
A13129,AFRICAN SEA COCONUT COUGH MIXTURE 177ML,OTC
A13130,~FUTURE FOOD CITRUS PUNCH 300G,CONSIGNMENT DR HANISAH
A13131,DISCONTINUE,OTC
A13132,BIONETTE ELECTRONIC ALLERGY RELIEF DEVICE,OTC
A13143,DISCONTINUE,OTC
A13148,CADBURRY DAIRY MILK CHOCOLATE 15G,OTC
A13149,~FUTURE FOOD DREAM WEAVER ESSENTIAL OIL 10ML,CONSIGNMENT DR HANISAH
A13150,~ BONIVITA 450MG 30S,CONSIGNMENT
A13151,SUDU GARFU PLASTIK,OTC
A13152,SERENAZ NAT SEA WATER NASAL SPRAY 30ML,OTC
A13153,NASOCARE INFANT (SMALL) 50ML,OTC
A13144,STERIMAR NASAL SPRAY 100ML,OTC
A13145,AL AQSA EXTRA VIRGIN PALESTINIAN OLIVE OIL 100ML,OTC
A13140,LIGHT WHEELCHAIR WITH FOLDABLE BACREST (GSR06A),REHAB & SUPPORT
B10468,PHARMANIAGA DERMAL G CREAM 15G,POISON
A13147,MINSYAM OLIVE OIL VITAMIN E LAVENDER &amp; ROSEMARY 50ML,OTC
A13156,VASELINE LIP THERAPY ORIGINAL 7G,OTC
A13157,DISCONTINUE,OTC
A13158,ARTELAC NIGHTTIME GEL EYE GEL DEEP HYDRATION OVERNIGHT 10G,OTC
A13163,REPARIL ICE SPRAY 200ML,OTC
A13164,SALUS FLORADIX FORMULA 500ML,OTC
A13165,DISCONTINUE,OTC
A13168,KAPS NATURAL INSECT REPPELENT SPRAY 75ML,OTC
A13169,ZESHIELD NATURAL MOSQUITO REPELLENT 50ML,OTC
A13160,SUNPLAY ULTRA SHIELD SPF130 PA+++ HIGH PERFORMANCE 35G,OTC
A13161,DISCONTINUE,OTC
A13174,DISCONTINUE,SUPPLEMENT TLS
A13175,HCG STRIP ONE STEP URINE PREGNANCY TEST,OTC
A13176,~PURE ETHANOL 50ML WITH SPRAY BOTTLE,CONSIGNMENT DR HANISAH
V10047,DISCONTINUED,OTC
A13179,DISCONTINUED,OTC
A13180,~FUTURE FOOD MENTHOL CRYSTAL 50G,CONSIGNMENT DR HANISAH
A13182,DISCONTINUE,OTC
A13183,AS NO.1 NITRILE GLOVE L (BLUE) 100'S,REHAB & SUPPORT
B10470,JANUVIA 100MG 7S,POISON
A13185,~POCKET TISSUE  2PLY*8 SHEETS,CONSIGNMENT DR HANISAH
B10471,VENTOLIN RESPIRATOR SOLUTION 10ML,POISON
A13186,KAPS INSECT REPPELENT STICK 34G,OTC
A13187,GLUCONAVII NFC READER,MEDICAL DEVICE & SUPPLY
A13188,DISCONTINUE,OTC
A13189,MH ORGANIC PUMPKIN KERNEL 200G,OTC
A13190,MH BUCKWHEAT SEAWEED COOKIES 200G,OTC
A13192,MH ORG EXTRA VIRGIN OLIVE OIL-GREENIST 250ML,OTC
A13193,MH ORG SOY SAUCE-UG 310ML,OTC
A13194,MH ORG BLACK SESAME OIL COLD PRESSED-PC 220G,OTC
A13195,IZZLY SPINACH NOODLES 55G,OTC
A13196,IZZLY SWEET POTATO NOODLES 55G,OTC
A13197,IZZLY PUMPKIN NOODLES 55G,OTC
A13211,AVADOL PARACETAMOL 250MG/5ML 90ML,OTC
A13212,DISCONTINUED,OTC
A13213,NASOCARE INFANT (BIG) 100ML,OTC
A13215,~CREAM CONTAINERS 4S,CONSIGNMENT DR HANISAH
A13216,TRAVEL SET CONTAINERS 3PCS,OTC
A13223,COSRX CLEAR FIT MASTER PATCH 18'S,PERSONAL CARE
B10478,LORSEDIN 1MG/ML ORAL SOLUTION 60ML,POISON
A13224,DISCONTINUED,OTC
A13225,DISCONTINUED,OTC
A13226,DISCONTINUED,OTC
A13227,DISCONTINUED,OTC
A13228,DISCONTINUED,OTC
A13229,DISCONTINUED,OTC
A13230,DISCONTINUED,OTC
A13231,DISCONTINUED,OTC
A13217,~ DAZIBET 500MG 30S,CONSIGNMENT
B10477,FOSAMAX PLUS 70MG/5600IU BOX 4'S,POISON
A13218,DISCONTINUE,OTC
A13219,DISCONTINUED,OTC
A13220,DISCOUNTINUE,OTC
A13221,MUNATORIL THROAT SPRAY GOLA 30ML,OTC
A13233,DISCONTINUED,OTC
A13234,DISCONTINUED,OTC
A13235,DISCONTINUED,OTC
A13236,DISCONTINUE,OTC
B10475,NEO BETASONE 15G,POISON
B10476,MYCLAV AMOXICILLIN/CLAVULANATE 625MG 10'S,POISON
A13239,NEEM TOOTHPASTE 125G,OTC
A13240,NEEM TOOTHPASTE 175G FREE T/BRUSH,OTC
A13241,NEEM TOOTHPASTE 200G,OTC
A13247,PRENAVIT PREGNANCY SUPPLEMENTS 30'S,OTC
A13242,BAUSCH&LOMB SENSITIVE EYES PLUS SALINE 355ML,OTC
A13243,DISCONTINUED,FOOD & BEVERAGES
A13244,NEILMED NASA MIST SALINE SPRAY 75ML,OTC
A13245,DISCOUNTINUE,OTC
A13246,PROMATER OMEGA-3 FISH OIL 500MG 30'S,OTC
A13248,DISCONTINUE,OTC
A13249,STRIVACE SCAR GEL 9GM,OTC
A13251,DISCONTINUE,OTC
B10480,FLEMING AMOXICILLIN/CLAVULANIC 228.5MG/5ML  SUSPENSION,POISON
B10481,AXCEL CEFUROXIME -125 50ML,POISON
A13256,YUWELL BLOOD PRESSURE MONITOR WITH BLUETOOTH YE8600A,MEDICAL DEVICE & SUPPLY
A12944,FAMILY GUARD LAVENDER 280ML,MEDICAL DEVICE & SUPPLY
A12933,DISCONTINUE,OTC
A12940,PILL SPLITTER & STORAGE,OTC
B10441,DISCONTINUE,POISON
A12942,DISCONTINUED,OTC
A12930,AVOSIL LOZENGE 2MG PACK 20'S,OTC
A12952,PROGIGUARD VEGI CAPS 60'S,OTC
A12953,ELEFBEBE DOUBLE ELECTRIC BREAST PUMP BP-D05,BABY & MOM
A12954,DISCONTINUED,OTC
A12955,*MEDISHIELD HL KF99 OLIVE GREEN 10'S,MEDICAL DEVICE & SUPPLY
A12949,EKOBREEZE K5 NANO SPRAY MACHINE GUN,OTC
A12950,WESNITZER VCARE ENVIRONMENTAL DISINFECTANT LIQUID 5L,MEDICAL DEVICE & SUPPLY
A12957,AXCEL PARACETAMOL 250MG (STRAWBERRY) 100ML,OTC
A12959,ANDON INFRARED NO-TOUCH THERMOMETER,MEDICAL DEVICE & SUPPLY
A12960,DISCONTINUE,OTC
A12965,AROSS NITRILE BLUE GLOVE (S),REHAB & SUPPORT
A12966,NITRILE GLOVE POWDER FREE (M) 100'S,REHAB & SUPPORT
A12967,DISCONTINUE,OTC
A12962,DISCONTINUE,OTC
A12963,DISCONTINUE,OTC
A12970,PRIMES COTTON BALLS 50G,BABY & MOM
A12935,DISCONTINUE,OTC
B10440,DYNADRYL SYRUP 100ML,POISON
A12936,UPHAMOL 250MG ORANGE 60ML,OTC
A12937,DISCONTINUE,OTC
A12938,~CLOVE INHALER WITH CLOVE ESSENTIAL OIL,CONSIGNMENT DR HANISAH
B10439,CONCOR 2.5MG 10'S,POISON
A12920,~EZEE CHICKEN BRIYANI 250G,OTC
A12921,~EZEE VEGETABLE BRIYANI 250G,CONSIGNMENT
A12922,~EZEE CHICKEN RENDANG 180G,CONSIGNMENT
A12923,~EZEE CHICKEN MASALA 180G,OTC
A12924,SEBORIN ANTI DANDRUFF HAIR TONIC (BROWN) 400ML,PERSONAL CARE
A12925,DISCONTINUE,OTC
A12926,FAMILY GUARD CITRUS 280ML,MEDICAL DEVICE & SUPPLY
A12908,SWISSE ULTIBOOST COLLAGEN COMPLEX 30'S,OTC
A12909,DETTOL SPRAY SAKURA BLOSSOM 450ML,PERSONAL CARE
A12910,DISCONTINUE,OTC
A12911,DISCONTINUE,OTC
A12912,DISCONTINUE,OTC
A12913,DISCONTINUE,BABY & MOM
A12914,DISCONTINUE,BABY & MOM
A12915,DISCONTINUE,OTC
A12903,SEJOY SALIVA COVID TEST KIT 1'S,OTC
B10437,*ATOZET 10/20MG 10'S,POISON
A12904,DISCONTINUE,OTC
A12905,LIAN HUA QING WEN 500MG CAP 10'S,OTC
B10438,*XIGDUO XR 5MG/1000MG STRIP 7'S,POISON
A13009,DISCONTINUED,OTC
A13015,DISCONTINUE,OTC
A13002,NUT KING SALTED PEANUTS 12G,OTC
A13005,NESTLE HONEY STAR 30G,OTC
A13011,NIPS PEANUT 13G,OTC
B10446,CARINOX CAP 10'S,POISON
A13012,~ DOTERRA FRANKINCENSE 15ML,CONSIGNMENT DR HANISAH
B10447,DISCONTINUE,POISON
