Item Code,Description,Item Group
A14995,~JUUNO FEVER COOLING PATCH (FANTASY UNICORN) 6S,OTC
A14993,~JUUNO BEDTIME VAPOUR PATCH (RAFRAF) 12S,OTC
A14932,KING CARE ADULT DIAPERS (XL/XXL),REHAB & SUPPORT
B10709,CROTAMIXON CREAM 15G,POISON
A14419,~HEALTHY JOY JEM ROSELLE (280GM),SUPPLEMENT NOVA
A14433,~HEALIN LUKANO GAMAT GEL 40G,CONSIGNMENT
A14625,~CIK BIBAH RTE DAGING KURMA 150GM,FOOD & BEVERAGES
A14629,~CIK BIBAH RTE PASTA AGLIO 120GM,FOOD & BEVERAGES
A14732,~BIO-MC DISWASHING LIQUID (GRAPEFRUIT & ROSE) 1000ML,PERSONAL CARE
A14733,~BIO-MC DISWASHING LIQUID (HONEYDEW MELON) 1000ML,PERSONAL CARE
A14734,~BIO-MC DISWASHING LIQUID (VERBENA & GINGER) 1000ML,PERSONAL CARE
A14727,~BIO-MC FABRIC SPRAY (FRESH FIG DELIGHT) 250ML,PERSONAL CARE
A14728,~BIO-MC FABRIC SPRAY (WOODLAND SAGE) 250ML,PERSONAL CARE
B10574,~ AMLOMED 10MG 10S,POISON
A14061,~BEBIMORA DIAPANTS (XXL),BABY & MOM
A14062,~BEBIMORA HEAD TO TOE SHOWER 350ML,BABY & MOM
A14065,~BEBIMORA WIPES 80PCS,BABY & MOM
A14043,~ SACHA INCHI OIL PLUS 60'S,CONSIGNMENT
A13870,MEDETOP SKIN SERUM (ROSE GERANIUM) 50ML,OTC
A13007,~DILUTED ESSENTIAL OIL,CONSIGNMENT DR HANISAH
A12943,~AL HARAMAIN KURMA TANGKAI 400G,OTC
A13094,COLGATE TOOTHPASTE FRESH COOL MINT 75G,PERSONAL CARE
A12491,~FUTURE FOOD ZECHSTEIN MAGNESIUM OIL 100ML,CONSIGNMENT DR HANISAH
A12548,COMP VARICOSE VEIN BLEND 10ML,OTC
A12607,~TASNEEM SLEEPY PILLOW MIST 80ML,BABY & MOM
A12769,CODEX FOGGING DISINFECTANT SOLUTION 5L,OTC
A12682,KOWA 3D MASK PINK S 5'S,MEDICAL DEVICE & SUPPLY
A10741,FRANCH NAIL & CITICLE OIL 4ML ,OTC
A10755,SENSODYNE MULTICARE 100G*2,OTC
A11051,BIOVERSA PAPAYA LEAF EXTRACT 300MG 60'S,OTC
A10488,~CIK BIBAH RTE RENDANG DAGING 150GM,FOOD & BEVERAGES
A10043,SCOTT'S GUMMIES MULTIVITAMIN (TROPIKAL),FOOD & BEVERAGES
A10049,RYZE WINDOW DISPLAY PERIOD TIMELINE FROM 1ST MARCH 2025 TO 1ST MARCH 2026,OTC
A10131,DISCONTINUED,OTC
A11361,MUMIN TP MAX WHITENING 160G,OTC
A11706,DISCONTINUE,OTC
A11707,~*3M 9501+ KN95/P2 2'S,MEDICAL DEVICE & SUPPLY
A11592,YUWELL Y350 BLOOD GLUCOSE TEST STRIP 50S,MEDICAL DEVICE & SUPPLY
B10194,AZITHROMYCIN 500MG BOX 3'S,POISON
1,DISCONTINUE,OTC
B10281,SERRIN 5MG STRIP 10'S,POISON
A11921,~ORGANIC CHIA SEED 100G,CONSIGNMENT DR HANISAH
A11922,HURIXS INSECT BITES CREAM 13G,OTC
A11924,ALCON SYSTANE ULTRA EYE DROPS 10ML,OTC
A11925,DISCONTINUE,OTC
A11926,DISCONTINUE,OTC
B10282,SUNWARD POLARAX 2MG STRIP 10'S,POISON
B10283,SUNWARD SUNPROX 550MG 10'S,POISON
B10284,CIPRODAC CIPROFLOXACIN 500MG STRIP 10'S,POISON
B10280,SANDOZ SILDEGRA 100MG BOX 4'S,POISON
A11919,DISCONTINUE,OTC
B10263,AXCEL CIMETIDINE 400MG 10'S,POISON
B10264,CLOBET CREAM 10G,POISON
B10266,POCIN-H EAR DROPS 5ML,POISON
B10267,RAVIMED 5MG STRIP 10'S,POISON
B10270,HOVID VIREST CREAM 5% 5G,POISON
B10273,MUPOSTEN OINTMENT 15G,POISON
B10274,PANTIUM 40MG STRIP 10'S,POISON
B10276,DISCONTINUE,POISON
A11889,DISCONTINUE,OTC
A11890,DISCONTINUE,OTC
A11891,DISCONTINUE,OTC
A11892,DISCONTINUE,OTC
A11893,DISCONTINUE,OTC
A11895,HP ORG DARK CHOCOLATE COOKIES 180G,OTC
A11896,HP NATURAL RAW GINGER HONEY 410G,OTC
A11897,HP ORG HARTWEIZEN SPAGHETTI 500G,OTC
A11898,SEA SALT 500G ( CELTIC SALT ),CONSIGNMENT DR HANISAH
A11899,OM KOREAN SEAWEED 24'S,OTC
B10250,ALLERSIN SYRUP 60ML,POISON
A11888,DISCONTINUE,OTC
A11901,~LIFEFLO MAGNESIUM LOTION VANILLA 237ML,CONSIGNMENT DR HANISAH
A11902,DISCONTINUED,OTC
B10254,JANUMET XR 50MG/1000MG BOX 56'S,POISON
B10252,SHINTAMET 400MG STRIP 10'S,POISON
B10256,DAONIL 5MG STRIP 10'S,POISON
B10259,AXCEL ERYTHROMYCIN STRIP 10'S,POISON
A11904,DISCONTINUE,OTC
A11905,DISCONTINUE,OTC
A11906,BIO OIL 60ML,OTC
A11907,BIO OIL 125ML,OTC
A11910,MEDISHIELD FIRST AID KIT MINI EQUIPPED PVC MPMN109,REHAB & SUPPORT
A11913,DISCONTINUE,OTC
A11914,DISCONTINUE,OTC
A11915,DISCONTINUE,OTC
A11916,DISCONTINUE,OTC
A11917,DISCONTINUE,OTC
A11918,METHYCOBAL 500MCG 10'S,OTC
A11840,NU-PREP WANITA 50MG (PHYSTA EXTRAC TONGKAT ALI) 10S,OTC
A11841,NU-PREP LELAKI 100MG (PHYSTA EXTRAC TONGKAT ALI) 10S,OTC
A11842,~AUNTY NONA TUALANG HONEY 300ML,CONSIGNMENT
A11843,DISCONTINUE,OTC
A11844,DISCONTINUE,OTC
A11849,~STASH TEA WILD RASPBERRY 38G,CONSIGNMENT DR HANISAH
A11850,~STASH TEA DECAF CHOCOLATE HAZELNUT 36G,CONSIGNMENT DR HANISAH
A11861,DISCONTINUED,OTC
A11862,NC SILVERGUARD COLLOIDAL SILVER 350ML,OTC
A11851,~YOGI TEA ECHINACEA IMMUNE SUPPORT 24G,CONSIGNMENT DR HANISAH
A11852,~YOGI TEA THROAT COMFORT HONEY LEMON 32G,CONSIGNMENT DR HANISAH
A11853,~YOGI TEA BREATHE DEEP 32G,CONSIGNMENT DR HANISAH
A11854,~YOGI TEA WOMAN'S RASPBERRY LEAF 29G,CONSIGNMENT DR HANISAH
A11855,~YOGI TEA STRESS SUPPORT SWEET CLEMENTINE 32G,CONSIGNMENT DR HANISAH
A11856,~CHOICE ORGANIC TEAS ROOIBOS 32G,CONSIGNMENT DR HANISAH
A11857,~YOGI TEA DIGESTIVE AWAKENING BLACKBERRY AC 29G,CONSIGNMENT DR HANISAH
A11859,DISCONTINUE,OTC
A11860,~YOGI TEA SKIN DETOX SOOTHING ROSE HIBISCUS 32G,CONSIGNMENT DR HANISAH
A11866,DISCONTINUE,OTC
A11867,DISCONTINUE,OTC
A11868,DISCONTINUE,OTC
A11869,DISCONTINUE,OTC
A11846,DISCONTINUE,OTC
A11864,DISCONTINUE,OTC
A11871,GRACE CARE KNEE SUPPORT GC-KB120 SIZE S/M/L/XL,REHAB & SUPPORT
A11874,DR S ORTHO ANTI-EMBOLISM STOCKING (L),REHAB & SUPPORT
A11880,NEILMED SINUS RINSE PAED STARTER KIT 30'S,OTC
B10225,TO TOLCHICINE 0.6MG STRIP 10'S,POISON
B10228,DISCONTINUE,POISON
B10229,CCM DEXCHLORAMINE SYRUP 2MG/5ML 90ML,POISON
B10232,METROGYL 400MG STRIP 10'S,POISON
B10237,XEPA DEXTRACIN EYE/EAR DROPS 5ML,POISON
B10239,*JARDIANCE 10MG STRIP 10'S,POISON
B10241,MSD CERAZETTE BOX 28'S,POISON
B10242,AFRIN NASAL SPRAY 15ML,POISON
B10244,BIOLAB BIOZOLE 150MG STRIP 1'S,POISON
B10247,VOLTAREN SR 100MG 10'S,POISON
B10248,SUNWARD BROMHEXINE 8MG STRIP 10'S,POISON
A11883,NAVRATNA HERBAL OIL COOL 200ML,OTC
A11884,NAVRATNA HERBAL OIL COOL 100ML,OTC
B10249,SANOFI LANTUS 100IU/ML SOLOSTAR,POISON
A10606,DISCONTINUE,OTC
A10607,DISCONTINUE,OTC
A10656,SENSODYNE RAPID RELIEF WHITENING 100G*2,OTC
A10842,DISCONTINUE,OTC
A10912,VISMED GEL MULTI 0.3% 10ML,OTC
A10913,VISMED MULTI 0.18% 10ML,OTC
A11900,~ECZEMA SALVE 30ML,CONSIGNMENT DR HANISAH
A11885,BIO OIL 200ML,OTC
A11832,MALLEABLE SPLINT L 91*11CM,REHAB & SUPPORT
A11834,DISCONTINUE,OTC
A11835,DISCONTINUE,OTC
A11836,DISCONTINUE,OTC
A11837,FACE MASK 3PLY ADULT 5'S,MEDICAL DEVICE & SUPPLY
A11838,DISCONTINUE,OTC
A11823,DISCONT ~SANNY & JOLEEN ANTIOXIDANT SERUM 10ML,OTC
A11824,DISCONT,OTC
A11825,MALLEABLE SPLINT M 40*11CM ,REHAB & SUPPORT
A11826,DISCOUNTINUE,OTC
A11827,DISCOUNTINUE,OTC
A11828,DISCOUNTINUE,OTC
A11829,DISCOUNTINUE,OTC
A11830,HP ORGANIC COCONUT CREAM POWDER 100GM,OTC
A10375,DISCONTINUE,OTC
A11806,DISCONT,OTC
A11808,DISCONTINUE,OTC
A11809,DISCONTINUE,OTC
A11810,DISCONTINUE,OTC
A11811,DISCONTINUE,OTC
A11812,DISCONTINUE,OTC
A11813,DISCONTINUE,OTC
A11814,~YUM EARTH ORGANIC POPS SOUR 87G,CONSIGNMENT DR HANISAH
A11815,~ZOLLIPOPS CLEAN TEETH POPS 5.2OZ,CONSIGNMENT DR HANISAH
A11816,~YUM EARTH ORGANIC POPS ANTIOXIDANT FRUITS 87G,CONSIGNMENT DR HANISAH
B10215,CHLORAMINE SYRUP 4MG/5ML 90ML,POISON
B10216,APO-METOPROLOL 100MG STRIP 10'S,POISON
B10217,*MSD ARCOXIA 90MG PCS 1'S,POISON
B10219,CCM CHLORAMINE 4MG STRIP 10'S,POISON
B10220,*FORTZAAR 100/25MG STRIP 10'S,POISON
B10221,GLUCOXIT 500MG STRIP 10'S,POISON
B10222,PULIN 10MG STRIP 10'S,POISON
000004,~ZOLLIPOPS CLEAN TEETH POPS 1S,CONSIGNMENT DR HANISAH
A11772,DISCONTINUE,OTC
A11773,DISCONTINUED,OTC
A11774,MCT COCONUT OIL 250ML,OTC
A11775,MH ORG OAT FLOUR 500GM,OTC
A11776,~EXTRA VIRGIN OLIVE OIL 100ML,CONSIGNMENT DR HANISAH
A11777,MH FOOD GLUTEN FREE FLOUR 500GM DISCONT,OTC
A11779,DISCONTINUE,OTC
A11780,MH ORG BABY SHITAKE MUSHROOM 50GM,OTC
A11781,DISCONTINUE,OTC
A11782,DISCONTINUE,OTC
A11784,DISCONTINUE,OTC
A11785,TOON SPROUT POWDER 50GM,OTC
A11786,ORG TOMATO KETCHUP 285GM,OTC
A11787,MH FOOD ORG COCONUT SUGAR 500GM,OTC
A11788,MH FOOD ORG DATE SUGAR 200GM,OTC
A11791,MH FOOD OLD TANGERINE PEEL 30GM,OTC
A11792,MH FOOD LAVENDER TEA 50GM,OTC
A11793,ALOINT LOTION 120ML ,OTC
A11794,DISCOUNTINUE,FOOD & BEVERAGES
A11796,ORG APPLE MANGO JUICE SUNBLAST 200ML,FOOD & BEVERAGES
A11797,ORG APPLE CHERRY BC JUICE SUNBLAST 200ML,FOOD & BEVERAGES
A11798,ORG PEANUT BUTTER CREAMY 180GM,OTC
A11799,ORG PEANUT BUTTER CHUNKY 180GM,OTC
A11803,BIONOVA ORG BAKED BEANS IN TOMATO SAUCE 340GM,OTC
A11804,MH ORG QUICK OATS 500GM,OTC
B10202,DISCONTINUE,POISON
B10203,DERMOVATE OINTMENT 15G,POISON
B10206,MONUROL 3G 1'S,POISON
B10207,SELSUN 2.5% (YELLOW) SUSPENSION 60ML,POISON
B10212,*HARNAL OCAS 400MCG STRIP 10'S,POISON
B10195,BETAMOX 500MG STRIP 10'S,POISON
B10196,DEFUZIN CREAM 15G,POISON
B10198,BEAMOTIL STRIP 10'S,POISON
B10192,MUCOPROM SYRUP 120ML,POISON
A11768,DISCONTINUE,OTC
A11769,DISCONTINUE,OTC
A11761,ONE TOUCH SELECT METER,MEDICAL DEVICE & SUPPLY
A11762,TREE'S CARE ROUND BLOOD LANCET 100'S,OTC
A11763,DISCONTINUE,OTC
A11764,DISCONTINUE,OTC
A11765,CHAMPS C 100MG LYSINE 100'S,OTC
A11766,DISCONTINUE,OTC
A11767,*DIOFLEX 15'S,OTC
A11757,DETTOL HANDWASH COOL MINT &amp; BERGAMOT 250ML,REHAB & SUPPORT
A11758,DE-LICE COMB FA-CB117,OTC
A11759,DE-LICE COMB 228 PLASTIC,OTC
B10183,BETASONE 0.1% CREAM 15G,POISON
A11730,DISCONTINUE,OTC
A11731,PAN MATE COTTON BUDS DRUM 400'S,OTC
A11732,CARINA COSMEX COTTON BUD 200S,OTC
A11733,FD COTTON BUD ( GCB4 ) 200S,PERSONAL CARE
A11734,DISCONTINUE,OTC
A11735,DISCONTINUED,OTC
A11736,FLAVETTES VIT C 250MG SUGAR FREE ORANGE 60'S,OTC
A11737,DISCONTINUE,OTC
A11738,DISCONTINUE,OTC
